City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cape Town,ZA,-33.9258,18.4232,74.88,60,0,1.01,clear sky
1,Tuy Hoa,VN,13.0833,109.3,71.78,88,100,12.41,overcast clouds
2,Pemangkat,ID,1.1667,108.9667,78.17,87,100,7.76,overcast clouds
3,Skibbereen,IE,51.55,-9.2667,52.11,84,100,31.14,overcast clouds
4,Grahamstown,ZA,-33.3042,26.5328,62.47,89,100,20.87,overcast clouds
5,Flinders,AU,-34.5833,150.8552,68.38,81,99,5.99,moderate rain
6,Qaanaaq,GL,77.484,-69.3632,2.34,83,100,4.25,overcast clouds
7,Severo-Kurilsk,RU,50.6789,156.125,28.36,94,100,5.46,light snow
8,Busselton,AU,-33.65,115.3333,65.05,83,0,7.56,clear sky
9,Castro,BR,-24.7911,-50.0119,75.16,81,36,8.75,scattered clouds
10,Mahebourg,MU,-20.4081,57.7,80.26,84,100,19.22,light rain
11,Punta Arenas,CL,-53.15,-70.9167,59.11,77,100,21.85,light intensity shower rain
12,Cidreira,BR,-30.1811,-50.2056,73.99,94,100,8.93,overcast clouds
13,Rikitea,PF,-23.1203,-134.9692,78.8,72,100,11.7,overcast clouds
14,Padang,ID,-0.9492,100.3543,74.16,97,100,1.7,overcast clouds
15,Saint George,US,37.1041,-113.5841,56.35,26,0,3.0,clear sky
16,Esperance,AU,-33.8667,121.9,66.04,70,5,17.47,clear sky
17,Hobart,AU,-42.8794,147.3294,57.06,81,40,4.61,scattered clouds
18,Albany,US,42.6001,-73.9662,21.31,60,5,4.0,clear sky
19,Kalemie,CD,-5.9475,29.1947,70.07,86,77,1.01,light rain
20,Vaini,TO,-21.2,-175.2,77.16,94,100,8.05,light rain
21,Jamestown,US,42.097,-79.2353,21.52,46,40,5.01,scattered clouds
22,Clyde River,CA,70.4692,-68.5914,-26.63,84,100,4.5,overcast clouds
23,Mataura,NZ,-46.1927,168.8643,50.49,92,100,1.07,overcast clouds
24,State College,US,40.7934,-77.86,22.75,70,75,1.01,broken clouds
25,Tasiilaq,GL,65.6145,-37.6368,23.16,58,100,9.73,overcast clouds
26,Menongue,AO,-14.6585,17.691,60.13,97,100,4.23,overcast clouds
27,Hamilton,US,39.1834,-84.5333,27.05,71,0,1.01,snow
28,Faya,SA,18.3851,42.4509,54.12,77,3,3.51,clear sky
29,Baley,RU,51.6,116.6333,-15.57,100,84,2.68,broken clouds
30,Bredasdorp,ZA,-34.5322,20.0403,69.28,82,100,19.1,overcast clouds
31,Cherskiy,RU,68.75,161.3,-32.93,96,12,1.41,few clouds
32,Yellowknife,CA,62.456,-114.3525,-9.58,95,89,8.79,overcast clouds
33,Suluq,LY,31.6682,20.2521,55.0,71,10,6.87,clear sky
34,Ahipara,NZ,-35.1667,173.1667,71.49,98,96,5.91,overcast clouds
35,Barrow,US,71.2906,-156.7887,-14.78,70,75,12.66,haze
36,Nguruka,TZ,-5.1092,31.0419,65.34,93,100,0.6,overcast clouds
37,Iqaluit,CA,63.7506,-68.5145,-30.03,97,98,2.57,overcast clouds
38,Yaan,NG,7.3833,8.5667,84.24,13,0,6.2,clear sky
39,Nicoya,CR,10.1483,-85.452,89.15,27,6,16.37,clear sky
40,Carnarvon,AU,-24.8667,113.6333,78.87,89,75,10.36,broken clouds
41,Merauke,ID,-8.4667,140.3333,80.29,86,100,9.15,overcast clouds
42,Ushuaia,AR,-54.8,-68.3,64.02,55,75,24.16,light rain
43,New Norfolk,AU,-42.7826,147.0587,56.71,66,100,1.25,overcast clouds
44,Winslow,US,35.0242,-110.6974,43.3,27,0,0.0,clear sky
45,Iroquois Falls,CA,48.7669,-80.6831,6.12,72,100,5.7,overcast clouds
46,Talnakh,RU,69.4865,88.3972,-17.63,100,100,3.18,overcast clouds
47,East London,ZA,-33.0153,27.9116,69.75,85,100,18.39,light rain
48,Alyangula,AU,-13.8483,136.4192,78.62,85,98,8.34,overcast clouds
49,Salalah,OM,17.0151,54.0924,75.29,73,75,4.61,broken clouds
50,Kyrksaeterora,NO,63.2906,9.0891,36.25,86,82,7.27,light snow
51,Port Blair,IN,11.6667,92.75,79.48,80,96,7.11,overcast clouds
52,Hithadhoo,MV,-0.6,73.0833,82.24,73,100,12.95,overcast clouds
53,Dikson,RU,73.5069,80.5464,-18.2,100,99,3.47,overcast clouds
54,Raahe,FI,64.6833,24.4833,25.2,91,100,11.45,overcast clouds
55,Katsuura,JP,35.1333,140.3,32.11,50,8,7.14,clear sky
56,Ust-Maya,RU,60.4167,134.5333,-28.14,100,100,1.07,overcast clouds
57,Atuona,PF,-9.8,-139.0333,78.82,75,7,23.55,clear sky
58,Hasaki,JP,35.7333,140.8333,21.6,35,7,9.44,clear sky
59,Alepe,CI,5.5004,-3.6631,84.07,72,42,7.09,scattered clouds
60,Port-Gentil,GA,-0.7193,8.7815,79.79,80,15,8.97,few clouds
61,Pacific Grove,US,36.6177,-121.9166,64.58,50,0,1.01,clear sky
62,Sittingbourne,GB,51.3413,0.7328,50.49,79,100,23.94,overcast clouds
63,Pevek,RU,69.7008,170.3133,-28.68,99,37,3.47,scattered clouds
64,Alexandria,EG,31.2156,29.9553,57.0,68,0,10.04,clear sky
65,Khomeyn,IR,33.6423,50.0789,28.31,72,1,7.45,clear sky
66,Hatsukaichi,JP,34.35,132.3333,38.52,15,41,1.99,scattered clouds
67,Ambon,ID,-3.6954,128.1814,77.14,88,20,8.05,few clouds
68,Byron Bay,AU,-28.65,153.6167,67.05,73,80,20.13,broken clouds
69,Yulara,AU,-25.2406,130.9889,64.24,59,0,5.75,clear sky
70,Faanui,PF,-16.4833,-151.75,81.09,72,12,18.68,few clouds
71,Gazanjyk,TM,39.2446,55.5154,43.29,78,100,11.45,overcast clouds
72,Buta,CD,2.7858,24.73,77.72,36,100,2.93,overcast clouds
73,Saldanha,ZA,-33.0117,17.9442,68.32,73,0,7.45,clear sky
74,Saskylakh,RU,71.9167,114.0833,-25.74,100,98,3.2,overcast clouds
75,Peniche,PT,39.3558,-9.3811,56.68,78,0,16.64,clear sky
76,Te Anau,NZ,-45.4167,167.7167,42.82,88,18,2.39,few clouds
77,Mweka,CD,-4.85,21.5667,74.05,73,57,1.43,broken clouds
78,Tsaratanana,MG,-16.7833,47.65,73.54,93,100,8.12,light rain
79,Suez,EG,29.9737,32.5263,55.62,62,5,7.92,clear sky
80,Taksimo,RU,56.3444,114.8794,-14.17,88,35,1.9,scattered clouds
81,Bluff,NZ,-46.6,168.3333,50.81,74,94,13.69,overcast clouds
82,Hermanus,ZA,-34.4187,19.2345,69.8,77,65,16.84,broken clouds
83,Bengkulu,ID,-3.8004,102.2655,74.25,96,100,9.01,light rain
84,Avarua,CK,-21.2078,-159.775,78.85,83,40,11.5,scattered clouds
85,Arraial Do Cabo,BR,-22.9661,-42.0278,84.06,70,0,12.66,clear sky
86,Georgetown,MY,5.4112,100.3354,80.89,79,20,0.0,few clouds
87,Guadalupe Victoria,MX,32.2869,-115.105,65.95,14,7,11.36,clear sky
88,Safford,US,32.834,-109.7076,49.51,24,0,10.69,clear sky
89,Margate,GB,51.3813,1.3862,49.96,74,100,11.01,overcast clouds
90,Los Llanos De Aridane,ES,28.6585,-17.9182,64.15,83,0,13.8,clear sky
91,Hilo,US,19.7297,-155.09,76.12,76,0,0.0,clear sky
92,San Patricio,US,28.017,-97.5169,52.21,29,0,4.7,clear sky
93,Pozo Colorado,PY,-23.4923,-58.7972,72.43,95,100,5.91,light rain
94,Victoria,HK,22.2855,114.1577,61.25,82,100,5.99,overcast clouds
95,Salem,IN,11.65,78.1667,72.18,91,76,4.18,broken clouds
96,Freeport,US,40.6576,-73.5832,30.31,59,100,10.0,overcast clouds
97,Koslan,RU,63.4564,48.8989,-2.58,100,90,4.65,overcast clouds
98,Lasa,IT,46.6166,10.7002,37.69,60,3,4.56,clear sky
99,Shimoda,JP,34.6667,138.95,33.1,71,14,26.49,few clouds
100,Wembley,AU,-31.9333,115.8,74.16,89,1,4.61,clear sky
101,Itaituba,BR,-4.2761,-55.9836,84.78,73,100,2.48,overcast clouds
102,Provideniya,RU,64.3833,-173.3,-6.12,86,2,10.87,clear sky
103,Chernyshevskiy,RU,63.0128,112.4714,-6.56,100,100,2.73,overcast clouds
104,Kroya,ID,-7.6331,109.2461,77.5,88,100,5.06,overcast clouds
105,Garchitorena,PH,13.8804,123.6946,76.23,82,89,15.68,overcast clouds
106,Chuy,UY,-33.6971,-53.4616,71.94,77,90,7.92,overcast clouds
107,Abalak,RU,58.1286,68.5944,18.3,89,100,5.14,overcast clouds
108,Chokurdakh,RU,70.6333,147.9167,-30.15,100,100,1.52,overcast clouds
109,Veshenskaya,RU,49.6303,41.7334,10.27,97,52,6.15,broken clouds
110,Port Elizabeth,ZA,-33.918,25.5701,69.1,82,75,19.71,broken clouds
111,Kasongo,CD,-4.45,26.6667,67.06,94,88,0.83,overcast clouds
112,Marica,BR,-22.9194,-42.8186,87.75,83,97,6.64,overcast clouds
113,Nome,US,64.5011,-165.4064,-0.33,60,0,3.44,clear sky
114,Nyazepetrovsk,RU,56.0531,59.6028,12.43,96,100,3.67,overcast clouds
115,Tyukhtet,RU,56.5389,89.3011,17.31,82,100,9.1,overcast clouds
116,Ayan,RU,56.45,138.1667,-6.93,74,57,13.87,broken clouds
117,Manadhoo,MV,5.7667,73.3833,80.8,70,0,8.81,clear sky
118,Lorengau,PG,-2.0226,147.2712,80.64,77,64,7.56,broken clouds
119,Leningradskiy,RU,69.3833,178.4167,-22.18,96,7,4.36,clear sky
120,Carnoustie,GB,56.5014,-2.7091,41.0,75,0,16.11,clear sky
121,Sinnamary,GF,5.3833,-52.95,79.9,78,53,9.84,broken clouds
122,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,82.94,60,85,10.11,overcast clouds
123,Upernavik,GL,72.7868,-56.1549,-0.85,98,100,4.74,overcast clouds
124,Xanlar,AZ,40.5869,46.3158,29.71,44,40,13.8,scattered clouds
125,Kodiak,US,57.79,-152.4072,33.31,86,100,0.0,overcast clouds
126,Komsomolskiy,UZ,40.4272,71.7189,36.32,51,100,6.91,overcast clouds
127,Piacabucu,BR,-10.4056,-36.4344,83.16,63,100,12.64,overcast clouds
128,Aquiraz,BR,-3.9014,-38.3911,84.29,69,17,10.07,few clouds
129,Naisud,PH,11.8058,122.1939,76.73,82,92,15.23,overcast clouds
130,Chara,RU,56.9064,118.2631,-17.41,82,21,1.32,few clouds
131,Progreso,MX,21.2833,-89.6667,73.51,73,85,17.98,overcast clouds
132,Lavrentiya,RU,65.5833,-171.0,-17.64,93,18,9.48,few clouds
133,Tongliao,CN,43.6125,122.2653,0.93,85,18,7.72,few clouds
134,Nkawkaw,GH,6.5512,-0.7662,83.88,46,45,3.47,scattered clouds
135,Lakes Entrance,AU,-37.8811,147.981,52.16,89,0,5.55,clear sky
136,Fortuna,US,40.5982,-124.1573,56.93,73,0,1.99,clear sky
137,Manali,IN,13.1667,80.2667,81.07,81,99,9.35,overcast clouds
138,Juegang,CN,32.3174,121.1855,31.91,56,9,7.56,clear sky
139,Palencia,ES,42.4167,-4.5,39.81,74,0,13.62,clear sky
140,Torbay,CA,47.6666,-52.7314,50.49,94,100,10.0,moderate rain
141,Norman Wells,CA,65.282,-126.8329,-7.58,91,99,6.85,overcast clouds
142,Lake Cowichan,CA,48.825,-124.0546,44.96,89,100,1.52,overcast clouds
143,Blackwater,AU,-23.5833,148.8833,67.98,68,10,12.08,clear sky
144,Tuatapere,NZ,-46.1333,167.6833,50.83,84,100,2.46,overcast clouds
145,Nikolskoye,RU,59.7035,30.7861,27.88,94,100,9.95,snow
146,Souillac,MU,-20.5167,57.5167,80.37,85,100,16.67,light rain
147,North Bend,US,43.4065,-124.2243,50.16,95,57,7.36,broken clouds
148,Saint-Philippe,RE,-21.3585,55.7679,81.99,86,100,21.74,light rain
149,Narsaq,GL,60.9167,-46.05,3.42,75,0,5.77,clear sky
150,Pisco,PE,-13.7,-76.2167,68.05,88,75,9.22,mist
151,Paamiut,GL,61.994,-49.6678,-0.87,85,73,7.61,broken clouds
152,Kirakira,SB,-10.4544,161.9205,81.1,84,100,4.81,overcast clouds
153,Horni Plana,CZ,48.7674,14.0326,33.58,79,100,10.63,overcast clouds
154,Lodja,CD,-3.4833,23.4333,72.23,81,19,1.52,few clouds
155,Ercis,TR,39.0287,43.3586,20.8,70,2,6.87,clear sky
156,Maraa,BR,-1.8333,-65.3667,77.22,85,100,1.36,overcast clouds
157,Nichinan,JP,31.6,131.3667,37.76,69,6,9.89,clear sky
158,Kapaa,US,22.0752,-159.319,73.72,80,40,3.44,scattered clouds
159,Bathsheba,BB,13.2167,-59.5167,83.01,57,20,14.97,few clouds
160,Kokopo,PG,-4.352,152.2633,75.97,80,96,4.12,overcast clouds
161,Yerbogachen,RU,61.2767,108.0108,8.4,97,100,4.38,overcast clouds
162,Puerto Ayora,EC,-0.7393,-90.3518,82.36,84,86,5.01,overcast clouds
163,Mutoko,ZW,-17.397,32.2268,64.33,92,100,3.44,light rain
164,Adrar,MR,20.5022,-10.0711,72.72,7,0,8.63,clear sky
165,Lompoc,US,34.6391,-120.4579,70.11,40,0,0.0,clear sky
166,Hami,CN,42.8,93.45,26.55,28,100,11.48,overcast clouds
167,Ayagoz,KZ,47.9714,80.4392,-2.2,86,1,8.12,clear sky
168,Port-Cartier,CA,50.0334,-66.8654,9.75,66,34,7.63,scattered clouds
169,Butaritari,KI,3.0707,172.7902,82.36,70,13,19.37,few clouds
170,Kavieng,PG,-2.5744,150.7967,81.19,78,30,5.19,scattered clouds
171,San Cristobal,VE,7.7669,-72.225,75.38,69,98,1.72,overcast clouds
172,Soderhamn,SE,61.3037,17.0592,26.98,78,7,7.05,clear sky
173,Yenagoa,NG,4.9247,6.2642,82.45,65,0,8.48,clear sky
174,Karatau,KZ,43.1667,70.4667,32.65,53,100,1.05,overcast clouds
175,Cabo San Lucas,MX,22.8909,-109.9124,75.61,59,0,1.99,clear sky
176,Srednekolymsk,RU,67.45,153.6833,-39.71,99,39,3.8,scattered clouds
177,Pontianak,ID,-0.0333,109.3333,76.98,100,100,2.3,overcast clouds
178,Vostok,RU,46.4856,135.8833,-11.04,99,100,3.24,overcast clouds
179,Sibolga,ID,1.7427,98.7792,75.54,90,100,3.24,overcast clouds
180,Lincoln,US,40.8,-96.667,53.35,34,0,7.0,clear sky
181,Guerrero Negro,MX,27.9769,-114.0611,66.36,24,0,1.45,clear sky
182,Dukat,RU,62.55,155.55,-21.39,69,0,1.88,clear sky
183,Alta Floresta,BR,-9.8756,-56.0861,85.82,70,40,5.75,scattered clouds
184,Bandarbeyla,SO,9.4942,50.8122,75.36,69,100,11.16,overcast clouds
185,Patzun,GT,14.6833,-91.0167,66.9,54,62,5.99,broken clouds
186,Benguela,AO,-12.5763,13.4055,76.84,70,100,5.28,overcast clouds
187,Bayan,CN,46.0833,127.4,-13.5,100,90,3.74,overcast clouds
188,Bethel,US,41.3712,-73.414,27.05,67,40,5.99,scattered clouds
189,Deputatskiy,RU,69.3,139.9,-29.85,97,91,3.11,overcast clouds
190,Fairbanks,US,64.8378,-147.7164,3.6,79,100,0.0,overcast clouds
191,Aruppukkottai,IN,9.5167,78.1,77.13,76,100,5.75,overcast clouds
192,Aravete,EE,59.1403,25.7485,32.0,88,100,7.99,overcast clouds
193,Bambanglipuro,ID,-7.95,110.2833,62.6,85,100,4.94,overcast clouds
194,Ranfurly,NZ,-45.1333,170.1,41.65,97,25,1.41,scattered clouds
195,Gerpinnes,BE,50.3379,4.5273,44.96,75,75,17.27,broken clouds
196,Nouadhibou,MR,20.931,-17.0347,67.98,88,0,18.41,clear sky
197,Dongsheng,CN,39.8161,109.9776,12.76,44,17,5.55,few clouds
198,Drummondville,CA,45.8834,-72.4824,14.38,71,51,5.99,broken clouds
199,Thompson,CA,55.7435,-97.8558,-12.84,70,75,2.3,broken clouds
200,Manoel Urbano,BR,-8.8389,-69.2597,81.95,80,81,3.02,light rain
201,Sao Gabriel Da Cachoeira,BR,-0.1303,-67.0892,84.0,74,40,3.44,scattered clouds
202,Korla,CN,41.7597,86.1469,24.69,41,96,8.79,overcast clouds
203,Vanimo,PG,-2.6741,141.3028,77.67,87,98,5.97,overcast clouds
204,Oranjemund,NA,-28.55,16.4333,68.27,73,93,6.69,overcast clouds
205,San Rafael,AR,-34.6177,-68.3301,59.94,66,100,5.06,light rain
206,Saint-Pierre,RE,-21.3393,55.4781,82.08,69,100,6.91,overcast clouds
207,Mar Del Plata,AR,-38.0023,-57.5575,64.09,100,100,1.99,moderate rain
208,Kiama,AU,-34.6833,150.8667,68.58,78,100,5.99,overcast clouds
209,Rio Gallegos,AR,-51.6226,-69.2181,77.05,29,75,27.63,broken clouds
210,Tiksi,RU,71.6872,128.8694,-22.4,98,85,7.81,overcast clouds
211,Angoche,MZ,-16.2325,39.9086,79.27,80,37,11.41,scattered clouds
212,Kangaatsiaq,GL,68.3065,-53.4641,-8.19,90,57,8.21,broken clouds
213,Tawang,IN,27.5833,91.8667,14.49,82,4,8.68,clear sky
214,Burhanpur,IN,21.3,76.2333,65.23,24,0,5.64,clear sky
215,Antofagasta,CL,-23.65,-70.4,73.22,61,2,9.57,clear sky
216,Muros,ES,42.7762,-9.0603,52.09,72,0,14.65,clear sky
217,Constitucion,CL,-35.3333,-72.4167,71.51,55,7,17.07,clear sky
218,Isiro,CD,2.7739,27.616,71.78,32,100,3.4,overcast clouds
219,Christchurch,NZ,-43.5333,172.6333,54.03,92,100,1.01,moderate rain
220,Gamba,GA,-2.65,10.0,77.09,84,9,7.11,clear sky
221,Bulaevo,KZ,54.9056,70.4439,12.34,80,100,7.7,overcast clouds
222,Makinsk,KZ,52.6292,70.4169,3.11,79,100,5.17,overcast clouds
223,Griffith,US,41.5284,-87.4237,21.97,65,40,4.0,scattered clouds
224,Isla Vista,US,34.4133,-119.861,72.28,29,0,3.44,clear sky
225,Kamenka,RU,51.3223,42.7678,7.14,97,82,8.59,broken clouds
226,Marzuq,YE,14.4,46.4667,67.75,40,20,4.56,few clouds
227,Santiago Del Estero,AR,-27.7951,-64.2615,90.91,30,64,10.33,broken clouds
228,Nerang,AU,-27.9833,153.3333,68.49,86,100,5.99,overcast clouds
229,Ribeira Grande,PT,38.5167,-28.7,61.2,77,75,13.8,broken clouds
230,Ishigaki,JP,24.3448,124.1572,64.09,71,100,22.06,overcast clouds
231,Khatanga,RU,71.9667,102.5,-31.72,99,99,2.08,overcast clouds
232,Isangel,VU,-19.55,169.2667,80.71,94,100,14.97,overcast clouds
233,Nuuk,GL,64.1835,-51.7216,9.21,72,75,10.36,broken clouds
234,Kaitangata,NZ,-46.2817,169.8464,47.7,82,79,5.37,broken clouds
235,Huarmey,PE,-10.0681,-78.1522,76.98,70,12,12.26,few clouds
236,Mao,ES,39.8885,4.2658,50.56,87,20,5.75,few clouds
237,Airai,TL,-8.9266,125.4092,60.91,92,100,2.01,overcast clouds
